"SingtelDashSCIIDash","128.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","GENERICBOOLEAN5","BOOL",,,,,,,"0.0000000000"
"SingtelDashSCIIDash","129.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","GENERICBOOLEAN6","BOOL",,,,,,,"0.0000000000"
"TransactionMMPSmarthomeInstallations","1044.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOAREACODE",,,,,,,"2.0000000000","0.0000000000"
"TransactionMMPSmarthomeInstallations","1045.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOPHONE",,,,,,,"2.0000000000","0.0000000000"
"TransactionMMPSmarthomeInstallations","1046.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOFAX",,,,,,,"2.0000000000","0.0000000000"
"TransactionMMPSmarthomeInstallations","1047.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOADDRESS1",,,,,,,"2.0000000000","0.0000000000"
"TransactionMMPSmarthomeInstallations","1048.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOADDRESS2",,,,,,,"2.0000000000","0.0000000000"
"TransactionMMPSmarthomeInstallations","1049.0000000000","STEL_TEMP_TRANSACTION",,,"INBOUND_DATA_TXN","SHIPTOADDRESS3",,,,,,,"2.0000000000","0.0000000000"
"AtomicSCIISingtelMusic","20.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","ALTERNATEORDERNUMBER",,,,,"Y",,,"0.0000000000"
"AtomicSCIISingtelMusic","23.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","NATIVECURRENCYAMOUNT","NUMBER",,,,,,,"0.0000000000"
"CPBSSSCIImCashSettlement","43.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","SHIPTOCOMPANY",,,,,,,,"0.0000000000"
"AtomicSCIISingtelMusic","24.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","DISCOUNTPERCENT","NUMBER",,,,,,,"0.0000000000"
"CPBSSSCIImCashSettlement","46.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","SHIPTOFAX",,,,,,,,"0.0000000000"
"AtomicSCIISingtelMusic","108.0000000000","INBOUND_DATA_STAGING",,,"INBOUND_DATA_TXN","GENERICNUMBER2","NUMBER",,,,,,,"0.0000000000"
