POSITIONNAME|EFFECTIVESTARTDATE|EFFECTIVEENDDATE|PAYEEID|PAYEETYPE|PLANNAME|MANAGERNAME|TITLENAME|POSITIONGROUPNAME|TARGETCOMPENSATION|UNITTYPEFORTARGETCOMPENSATION|BUSINESSUNITNAME|DESCRIPTION|GENERICATTRIBUTE1|GENERICATTRIBUTE2|GENERICATTRIBUTE3|GENERICATTRIBUTE4|GENERICATTRIBUTE5|GENERICATTRIBUTE6|GENERICATTRIBUTE7|GENERICATTRIBUTE8|GENERICATTRIBUTE9|GENERICATTRIBUTE10|GENERICATTRIBUTE11|GENERICATTRIBUTE12|GENERICATTRIBUTE13|GENERICATTRIBUTE14|GENERICATTRIBUTE15|GENERICATTRIBUTE16|GENERICNUMBER1|UNITTYPEFORGENERICNUMBER1|GENERICNUMBER2|UNITTYPEFORGENERICNUMBER2|GENERICNUMBER3|UNITTYPEFORGENERICNUMBER3|GENERICNUMBER4|UNITTYPEFORGENERICNUMBER4|GENERICNUMBER5|UNITTYPEFORGENERICNUMBER5|GENERICNUMBER6|UNITTYPEFORGENERICNUMBER6|GENERICDATE1|GENERICDATE2|GENERICDATE3|GENERICDATE4|GENERICDATE5|GENERICDATE6|GENERICBOOLEAN1|GENERICBOOLEAN2|GENERICBOOLEAN3|GENERICBOOLEAN4|GENERICBOOLEAN5|GENERICBOOLEAN6|CREDITSTARTDATE|CREDITENDDATE|PROCESSINGSTARTDATE|PROCESSINGENDDATE
14102-AKF-PROD|11/01/2021||14102|Participant|||AKF-PROD||||DK-50057836||||||||||||||||||||||||||||||||07/31/2022||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
60581-AKF-EA|11/01/2021||60581|Participant|||AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||09/30/2020||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
67526-AKF-EA|11/01/2021||67526|Participant|||AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||12/31/2021||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
68414-AKF-DB|11/01/2021||68414|Participant|||AKF-DB||||DK-50075837||||||||||||||||||||||||||||||||07/31/2023||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
79228-AKF-EA|11/01/2021||79228|Participant|||AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||09/30/2020||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
35424-AKF-EKC|11/01/2021||35424|Participant|||AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||12/31/2018||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
62623-OTHER|11/01/2021||62623|Participant|||OTHER||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
45133-AKF-EA|11/01/2021||45133|Participant|||AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||02/28/2019||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
29438-OTHER|11/01/2021||29438|Participant|||OTHER||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
76706-AKF-EA|11/01/2021||76706|Participant|||AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||07/31/2022||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
