"TransactionAdvtRevenue","import_txn_advt_rev                                                                                                                                                                                                                                            ","Y2",,,,"XLS",,"0.0000000000","a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"CPBSSSCIImCashSettlement","import_txn_mcash_count                                                                                                                                                                                                                                         ","Y2","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"ConcertoSCIIDeRegistration","import_txn                                                                                                                                                                                                                                                     ","Y","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"PayeeAdvtGenericProfile","import_payee_advt                                                                                                                                                                                                                                              ","Y2",,,,"XLSX",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"FixedValueAdvtRevenueTarget","import_fv_advt_target                                                                                                                                                                                                                                          ","Y2",,,,"XLS",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"ClassifierDeregEligibleDealers","import_clgc_dereg_elig                                                                                                                                                                                                                                         ","Y2",,,,"XLS",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"ConcertoSCIISIMRegistrationtransactions","import_txn                                                                                                                                                                                                                                                     ","Y","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"TransactionSimOnlyRevenue","import_txn                                                                                                                                                                                                                                                     ","Y",,,,"XLSX",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"PositionRelationDirectSalesDealerAMMapping","import_posreln                                                                                                                                                                                                                                                 ","Y2",,,,"XLSX",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"PositionRelationDirectSalesD2DAMMapping","import_posreln                                                                                                                                                                                                                                                 ","Y2",,,,"XLSX",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"BCCSCIIChannelPartnerMaster","import_txn                                                                                                                                                                                                                                                     ","Y2","Y","\\^","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"BCCSCIICSTI","import_txn                                                                                                                                                                                                                                                     ","Y",,"\\t",,"TXT",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"TransactionMMPSmarthomeInstallations","import_txn                                                                                                                                                                                                                                                     ","Y",,,,"XLSX",,"3.0000000000","a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"EDWSCIIPrepaidBBOM","import_txn                                                                                                                                                                                                                                                     ","Y2","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"EDWSCIIPrepaidVoiceActivation","import_txn                                                                                                                                                                                                                                                     ","Y2","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"HRCentralSCIISalesmanProfilexx","import_txn                                                                                                                                                                                                                                                     ","Y","Y","\\^",,"TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"MDLTmRemitRegistrationTarget","import_plmc_regtgt                                                                                                                                                                                                                                             ","Y2",,,,"XLS",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"ClassifierDELEligibleDealers","import_clgc_del_elig                                                                                                                                                                                                                                           ","Y2",,,,"XLS",,,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"BCCSCIISubmittedFixedVoiceStandaloneOrders","import_txn_bcc_delclosed                                                                                                                                                                                                                                       ","Y2","Y","\\t","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
"ODSSNBBVAS","import_txn_bcc_bbclosed                                                                                                                                                                                                                                        ","Y","Y","|","Y","TXT","Y",,"a-sankarm@singtel.com\,xv.govardhan.bevara@singtel.com\,sankar.mathiyazhagan@accenture.com\,xv.archana.boopathi@singtel.com"
